ProID,Info,,time,Value,
GenTime,2021-12-22 20:44:49,,0.0,0.0,
Record Length,87500 Points,,8.0E-5,-0.8,
Sample Interval,8.0E-5 s,,1.6E-4,-0.8,
Trigger Time,0s,,2.4E-4,-0.8,
Source,CH2,,3.2E-4,-3.2,
Vertical Units,(V)/grid,,4.0E-4,-2.4,
Vertical Scale,20.0,,4.8E-4,-2.4,
Vertical Offset,-44,,5.5999996E-4,-1.6,
Horizontal Units,s/grid,,6.4E-4,-1.6,
Horizontal Scale,0.5,,7.2E-4,-1.6,
Probe Atten,10.0,,8.0E-4,-1.6,
,,,8.7999995E-4,0.8,
,,,9.6E-4,0.0,
,,,0.00104,0.0,
,,,0.0011199999,0.0,
,,,0.0011999999,0.0,
,,,0.00128,0.0,
,,,0.00136,-0.8,
,,,0.00144,-18.0,
,,,0.0015199999,-11.6,
,,,0.0016,-9.6,
,,,0.00168,-8.8,
,,,0.0017599999,-8.0,
,,,0.0018399999,-7.2000003,
,,,0.00192,14.8,
,,,0.0019999999,11.6,
,,,0.00208,7.6,
,,,0.00216,6.0,
,,,0.0022399998,5.2000003,
,,,0.00232,4.4,
,,,0.0023999999,4.4,
,,,0.00248,3.2,
,,,0.00256,-17.2,
,,,0.0026399998,-10.8,
,,,0.00272,-8.8,
,,,0.0028,-8.0,
,,,0.00288,-7.2000003,
,,,0.00296,-7.2000003,
,,,0.0030399999,-6.4,
,,,0.00312,11.6,
,,,0.0032,6.0,
,,,0.0032799998,4.4,
,,,0.00336,2.4,
,,,0.00344,2.4,
,,,0.0035199998,1.6,
,,,0.0036,1.6,
,,,0.0036799998,-12.400001,
,,,0.00376,-9.6,
,,,0.00384,-7.2000003,
,,,0.00392,-6.4,
,,,0.0039999997,-5.6,
,,,0.00408,-5.6,
,,,0.00416,-4.8,
,,,0.0042399997,-4.8,
,,,0.00432,5.2000003,
,,,0.0044,2.4,
,,,0.0044799997,2.4,
,,,0.00456,1.6,
,,,0.00464,0.8,
,,,0.00472,0.8,
,,,0.0047999998,0.0,
,,,0.00488,-8.0,
,,,0.00496,-6.4,
,,,0.0050399997,-4.8,
,,,0.00512,-4.8,
,,,0.0052,-4.8,
,,,0.0052799997,-4.0,
,,,0.00536,-4.0,
,,,0.00544,5.2000003,
,,,0.0055199997,4.4,
,,,0.0056,2.4,
,,,0.00568,1.6,
,,,0.00576,0.8,
,,,0.0058399998,0.8,
,,,0.00592,0.8,
,,,0.006,0.0,
,,,0.0060799997,-5.6,
,,,0.00616,-4.0,
,,,0.00624,-3.2,
,,,0.0063199997,-3.2,
,,,0.0064,-3.2,
,,,0.00648,-2.4,
,,,0.0065599997,-2.4,
,,,0.00664,3.2,
,,,0.00672,1.6,
,,,0.0067999996,0.8,
,,,0.00688,0.8,
,,,0.00696,0.0,
,,,0.0070399996,0.0,
,,,0.0071199997,0.0,
,,,0.0072,-4.8,
,,,0.00728,-3.2,
,,,0.0073599997,-3.2,
,,,0.00744,-2.4,
,,,0.00752,-2.4,
,,,0.0075999997,-2.4,
,,,0.00768,-2.4,
,,,0.00776,-2.4,
,,,0.00784,1.6,
,,,0.00792,0.8,
,,,0.007999999,0.0,
,,,0.00808,0.0,
,,,0.00816,0.0,
,,,0.008239999,0.0,
,,,0.00832,0.0,
,,,0.0084,-3.2,
,,,0.008479999,-3.2,
,,,0.00856,-2.4,
,,,0.00864,-2.4,
